timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1693943465695,258,HTTP Request3,200,OK,Credit Managers 2-4,text,false,Test failed: message expected not to contain /OK/,636303,1319,5,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7W9U8bd_2i5HE8cDw6vNVstB-mYJlpKleNelG0seRnV8pLFN73O_XDFk69Jr8czAxMWRm7j&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S671410479%3A1693943466146853,5,0,0
1693943465695,5,HTTP Request3-0,301,Moved Permanently,Credit Managers 2-4,text,false,Test failed: message expected to contain /Found/,606,114,5,5,http://gmail.com/,5,0,0
1693943465701,27,HTTP Request3-1,302,Moved Temporarily,Credit Managers 2-4,text,false,Test failed: message expected to contain /Found/,1252,129,5,5,https://mail.google.com/mail/u/0/,27,0,0
1693943465728,21,HTTP Request3-2,302,Found,Credit Managers 2-4,text,true,,1649,264,5,5,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,21,0,0
1693943465750,54,HTTP Request3-3,302,Moved Temporarily,Credit Managers 2-4,text,false,Test failed: message expected to contain /Found/,2057,350,5,5,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7Xlv6rTSayogGYB62nujGehpJqssIguQTnUOM8ru1PT5huak33fvrzXgDDxNAbaxS2mTc0p,54,0,0
1693943465804,149,HTTP Request3-4,200,OK,Credit Managers 2-4,text,false,Test failed: message expected to contain /Found/,630739,462,5,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7W9U8bd_2i5HE8cDw6vNVstB-mYJlpKleNelG0seRnV8pLFN73O_XDFk69Jr8czAxMWRm7j&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S671410479%3A1693943466146853,92,0,0
1693943465427,525,Transaction2,,"Number of samples in transaction : 2, number of failing samples : 2",Credit Managers 2-4,,false,,1272189,2642,5,5,null,15,2,0
1693943467905,314,HTTP Request1,200,OK,Credit Managers 2-7,text,false,Test failed: message expected not to contain /OK/,635899,1322,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VPFhL-gKYEcdRzwkQu2jySuoaBiTT-NzEXqd44oQrfjzH1Y07f07bWI5Fpeof4uYGBfMq36A&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S84888402%3A1693943468401528,11,0,5
1693943467905,11,HTTP Request1-0,301,Moved Permanently,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,11,0,5
1693943467916,49,HTTP Request1-1,302,Moved Temporarily,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,49,0,27
1693943467966,41,HTTP Request1-2,302,Found,Credit Managers 2-7,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,41,0,24
1693943468007,52,HTTP Request1-3,302,Moved Temporarily,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,2059,352,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7VJE4YRUOafIX3lU5Wr94JD5G8p7g0L43sck7P5vECBcKWbdcB9ANWsmjar06t7JeB-QnxwmA,52,0,0
1693943468059,160,HTTP Request1-4,200,OK,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,630331,463,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VPFhL-gKYEcdRzwkQu2jySuoaBiTT-NzEXqd44oQrfjzH1Y07f07bWI5Fpeof4uYGBfMq36A&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S84888402%3A1693943468401528,95,0,0
1693943458654,314,Transaction1,,"Number of samples in transaction : 1, number of failing samples : 1",Credit Managers 2-7,,false,,635899,1322,4,4,null,11,9251,5
1693943468220,269,HTTP Request2,200,OK,Credit Managers 2-7,text,false,Test failed: message expected not to contain /OK/,636548,1325,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VMPNzILX-_hMrMkLrl8puyGW_40MusuIxNQW45RuG3gSiEClQ1HcqwHe1Ls9IuF15fXxkqVw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2045820907%3A1693943468661708,5,0,0
1693943468220,5,HTTP Request2-0,301,Moved Permanently,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,606,114,4,4,http://gmail.com/,5,0,0
1693943468225,22,HTTP Request2-1,302,Moved Temporarily,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,1252,129,4,4,https://mail.google.com/mail/u/0/,22,0,0
1693943468247,19,HTTP Request2-2,302,Found,Credit Managers 2-7,text,true,,1651,264,4,4,https://accounts.google.com/ServiceLogin?service=mail&passive=1209600&osid=1&continue=https://mail.google.com/mail/u/0/&followup=https://mail.google.com/mail/u/0/&emr=1,19,0,0
1693943468266,57,HTTP Request2-3,302,Moved Temporarily,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,2065,352,4,4,https://accounts.google.com/InteractiveLogin?continue=https://mail.google.com/mail/u/0/&emr=1&followup=https://mail.google.com/mail/u/0/&osid=1&passive=1209600&service=mail&ifkv=AXo7B7W1Oz6DDbJCdgetwm868UHbaH6gPo04dq-AChjE5kGoTNdoutFmEmjVZGsjkFsS9afR9ht5HQ,57,0,0
1693943468323,166,HTTP Request2-4,200,OK,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,630974,466,4,4,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VMPNzILX-_hMrMkLrl8puyGW_40MusuIxNQW45RuG3gSiEClQ1HcqwHe1Ls9IuF15fXxkqVw&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S-2045820907%3A1693943468661708,96,0,0
1693943468489,288,HTTP Request3,200,OK,Credit Managers 2-7,text,false,Test failed: message expected not to contain /OK/,636046,1324,5,5,https://accounts.google.com/v3/signin/identifier?continue=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&emr=1&followup=https%3A%2F%2Fmail.google.com%2Fmail%2Fu%2F0%2F&ifkv=AXo7B7VcgTzexZAcK2EIGZRJ4OHjXLi_KQX_xa2u2ns4-zTemQbd79FLVIeqAZPKfXKnLsRVxunkug&osid=1&passive=1209600&service=mail&flowName=WebLiteSignIn&flowEntry=ServiceLogin&dsh=S1393458125%3A1693943468974341,6,0,0
1693943468489,6,HTTP Request3-0,301,Moved Permanently,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,606,114,5,5,http://gmail.com/,6,0,0
1693943468495,73,HTTP Request3-1,302,Moved Temporarily,Credit Managers 2-7,text,false,Test failed: message expected to contain /Found/,1252,129,5,5,https://mail.google.com/mail/u/0/,73,0,0
